source;source_entry;date_day;date_month;date_year;actor_id;actor_first_name;actor_surname;status;phase;role
BRGA818;00001599A;;;1599;6930;Carel;Van den Steen;dean;start;glazier
BRGA818;00001608;;;1608;6930;Carel;Van den Steen;dean;start;glazier
BRGA818;00001613;;;1613;6930;Carel;Van den Steen;dean;start;glazier
BRGA818;00001617;;;1617;6930;Carel;Van den Steen;dean;start;glazier
BRGA818;00001621;;;1621;6930;Carel;Van den Steen;dean;start;glazier
BRGA818;00001625;;;1625;6930;Carel;Van den Steen;dean;start;glazier
BRGA818;15111613B;15;11;1613;6930;Carel;Van den Steen;master;;glazier
BRGA818;00001599B;;;1599;5917;Antoon;Van Schelle;master;start;painter
BRGA818;nan61602;;6;1602;5917;Antoon;Van Schelle;tutor;start;painter
BRGA818;15121613;15;12;1613;5917;Antoon;Van Schelle;tutor;former;painter
BRGA818;00001599D;;;1599;5940;Fernand;Bert;tutor;start;painter
BRGA818;761613;7;6;1613;5940;Fernand;Bert;tutor;start;painter
BRGA818;1011626;10;1;1626;5940;Fernand;Bert;tutor;former;painter
BRGA818;1411604;14;1;1604;5940;Fernand;Bert;tutor;start;painter
BRGA818;15101619;15;10;1619;5940;Fernand;Bert;tutor;former;painter
BRGA818;2831610;28;3;1610;5940;Fernand;Bert;tutor;start;painter
BRGA818;00001599E;;;1599;5945;Denys;Van Alsloot;tutor;start;painter
BRGA818;00001604C;;;1604;5945;Denys;Van Alsloot;tutor;start;painter
BRGA818;00001611A;;;1611;5945;Denys;Van Alsloot;tutor;start;painter
BRGA818;12101603;12;10;1603;5945;Denys;Van Alsloot;tutor;start;painter
BRGA818;1511625;15;1;1625;5945;Denys;Van Alsloot;tutor;former;painter
BRGA818;2351619;23;5;1619;5945;Denys;Van Alsloot;tutor;former;painter
BRGA818;00001599F;;;1599;5947;Philips;Britseels;apprentice;start;painter
BRGA818;9121614B;9;12;1614;5947;Philips;Britseels;tutor;start;painter
BRGA818;1081636;10;8;1636;5947;Philips;Britseels;tutor;start;painter
BRGA818;10121618;10;12;1618;5947;Philips;Britseels;tutor;start;painter
BRGA818;13101611;13;10;1611;5947;Philips;Britseels;tutor;start;painter
BRGA818;14101608;14;10;1608;5947;Philips;Britseels;tutor;start;painter
BRGA818;2141649B;21;4;1649;5947;Philips;Britseels;master;;painter
BRGA818;23111607;23;11;1607;5947;Philips;Britseels;master;start;painter
BRGA818;00001599F;;;1599;5948;Francois;De Godts;tutor;start;painter
BRGA818;1081617;10;8;1617;5948;Francois;De Godts;tutor;start;painter
BRGA818;2091604;20;9;1604;5948;Francois;De Godts;tutor;former;painter
BRGA818;00001600A;;;1600;6955;Nicolaes;Van Rillaert;dean;start;glazier
BRGA818;00001601;;;1601;6955;Nicolaes;Van Rillaert;dean;start;glazier
BRGA818;00001606;;;1606;6955;Nicolaes;Van Rillaert;dean;start;glazier
BRGA818;811614;8;1;1614;6955;Nicolaes;Van Rillaert;master;;glazier
BRGA818;00001600E;;;1600;5995;Peter;Noveliers;tutor;start;painter
BRGA818;121611;1;2;1611;5995;Peter;Noveliers;tutor;start;painter
BRGA818;421614A;4;2;1614;5995;Peter;Noveliers;tutor;former;painter
BRGA818;421614D;4;2;1614;5995;Peter;Noveliers;tutor;former;painter
BRGA818;421614F;4;2;1614;5995;Peter;Noveliers;master;;painter
